epoch,avg_loss,f1
1,1.9469317078590394,0.1285520648584133
2,1.7167853593826294,0.36457311246776536
3,1.3919033765792848,0.620626661538839
4,1.0316368222236634,0.7377845627098389
5,0.7545915961265564,0.8174898933214854
6,0.5147743701934815,0.8735136600801675
7,0.33021949231624603,0.924894287802106
8,0.22123548835515977,0.9637403801976429
9,0.12854133322834968,0.984397071866251
10,0.08097296804189683,0.99139516028007
11,0.0617147795855999,0.9957509965974604
12,0.05121431965380907,0.9965844134463729
13,0.044497429952025415,0.9940238912006587
14,0.045758269540965554,0.9930934701392296
15,0.04355582389980554,0.9931071305877776
16,0.038648226857185365,0.9948645566682142
17,0.08113213181495667,0.9948782832243864
18,0.03578006979078054,0.9957175242187187
19,0.03315982315689325,0.9974012569136296
20,0.032637665420770644,0.9948259053105675
21,0.030432518385350705,0.9957070585568762
22,0.029380864836275576,0.9974580248791638
23,0.02946800645440817,0.9965450170889757
24,0.03065688256174326,0.9948624583013809
25,0.02742654550820589,0.9956920626889192
26,0.027000651881098747,0.9965714505832503
27,0.02700044009834528,0.9965689935238169
28,0.027149779349565507,0.9965734348581459
29,0.02797676995396614,0.9948517040107567
30,0.02733625117689371,0.9956920626889192
